Redes Privativas | Turma 1 
terça, 15/04/2025

0:00 - Palestrante Não Identificado Sim, perfeitamente. Perfeitamente. Claro.

0:00 - Carlos Batista | Fiap Convidado 114 Boa tarde.

0:01 - Palestrante Não Identificado Boa tarde. Boa tarde. Boa tarde. Boa tarde, pessoal. Boa tarde, pessoal. Boa tarde, boa tarde. Boa tarde, pessoal.

0:22 - Fiap Convidado 114 Boa tarde a todos, meu nome é Eduardo Moreno, vou ser o professor de vocês nesse começo desse curso e vou projetar aqui e vamos ver se vocês conseguem ver a minha tela aqui.

0:48 - Palestrante Não Identificado Perfeito. Conseguem ver?

0:50 - Fiap Convidado 114 Sim, conseguimos. Muito obrigado. Bom, pessoal.

0:55 - Francisco José Professor, boa tarde.

0:57 - Fiap Convidado 114 Desculpa por gentilezas.

0:59 - Ani Corrêa Braga | Fiap Convidado 114 É, iniciar a gravação da aula?

1:03 - Ani Corrêa Braga Pois não. Eu que devo iniciar?

1:07 - Fiap Convidado 114 Isso, por favor.

1:09 - Ani Corrêa Braga | Fiap Convidado 114 Pois não, só vou mentir.

1:14 - Fiap Convidado 114 Como que eu inicio aqui, hein? No canto superior ali do seu aplicativo Teams tem uma opção inscrito gravar, mais depois gravar e transcrever.

1:32 - Ani Corrêa Braga Aí tá, iniciar gravação.

1:35 - Fiap Convidado 114 não tem não não tem tá eu vou eu vou iniciar por aqui aí depois a gente verifica se eu acerto professor obrigada obrigada você bom pessoal então então vamos lá bem-vindo a todos parabéns aí pela pela escolha é desse tema redes privativas que é um tema realmente muito quente no mercado, muitas empresas estão desenvolvendo estudos e implementações em redes privativas, particularmente no ambiente industrial, mas não apenas no ambiente industrial, e isso certamente é uma capacitação bastante procurada e demandada no mercado. Eu trabalho com investidores e realmente Estamos tendo uma procura bastante relevante de profissionais com essa capacitação. Esse primeiro módulo é o módulo de fundamentos. Falamos de fundamentos de redes móveis e um pouquinho de configuração de infraestrutura. Essa primeira parte é precisamente essa parte de redes móveis. Só me apresentando para vocês, eu sou Eduardo Moreno, eu tenho mais de 10 anos como CTO o principal executivo técnico de algumas das principais operadoras do país, como a Claro, do Brasil, Telemico Celular, Brasil Telecom GSM, Amazônia, entre outras. Lidero vários projetos ali e tenho uma experiência também como conselheiro e consultor de empresas de operadoras e empresas de tecnologia. Também trabalhei com Ministérios das Comunicações, da URTU, com o UNESCO, tenho, sou formado em Engenharia Elétrica pela Unicamp, também tem mestrado e doutorado em Telecomunicações pela Unicamp, precisamente nessa área de Comunicações Móveis. A gente vai começar aqui falando do contexto das, do contexto de Telecomunicações, desse momento em que a que a gente vive. Vamos falar de conceitos. Um pouquinho de paciência para quem tiver conhecimento nessa área, mas é fundamental um nivelamento de conceitos para que ninguém se perca pelo caminho. Um pouco de evolução tecnológica. De onde partimos, de onde chegamos hoje. Mercado. Um pouco de mercado, de telecomunicações no Brasil. Isso é essencial para entender o papel das redes privativas, onde que elas se aplicam e que mix faz sentido entre uma rede privativa e uma rede contratada do mercado. Vamos falar de 5G. 5G é a tecnologia de telefonia celular que está nesse momento na praça, que é a tecnologia mais evoluída que nós temos nesse momento e que é uma tecnologia que, diferente das gerações anteriores, ela também tem uma família de interfaces aéreas que permite a colocação de vários dispositivos adicionais, de tal forma que ela dá uma flexibilidade muito grande para diversas aplicações, particularmente para machine-to-machine, para internet de conexão de máquinas, que é fundamental para aplicação de redes privativas industriais. Vamos falar de fibra, vamos falar de compartilhamento. Compartilhamento é um conceito fundamental, porque algum tempo atrás as empresas eram bastante refratárias a fazer qualquer tipo de compartilhamento, mas nesse momento a lógica é maximizar esse compartilhamento. E isso traz oportunidades para empresas privadas para fazerem compartilhamento com empresas de telecomunicações e para usarem recursos dessas redes de telecomunicações também. Vou fazer comentários finais, obviamente, desse módulo e não do curso, porque o curso ainda será bastante extenso.

6:13 - Palestrante Não Identificado O que nós vemos?

