Redes Privativas | Turma 1 
quinta, 24/04/2025

0:17 - Palestrante Não Identificado Vocês estão vendo?

0:23 - Palestrante Não Identificado Professor, estamos vendo.

0:30 - Loreno ainda não está em tela cheia. Deixa eu ver. De novo. Artigas. Isso. Mais uma vez, compartilhar. Aí... Ainda não, pessoal? Professor, conseguimos ver. Pega, passa para a próxima.

2:05 - Daniel Quintao Ferreira se está funcionando. Está no modo apresentação agora, para mim está ok, a tela cheia.

2:11 - Loreno Isso, é isso mesmo.

2:13 - Loreno A gente está conseguindo ver, só avança para a gente ver se vai avançar a sua tela. Pronto, está funcionando. Tá bom? Então tá bom. Então hoje o que a gente vai falar um pouco é sobre, na verdade, segmentação nas redes privativas, tá? Eu tenho um conceito que é mais ou menos ativo, que na verdade a segmentação é intrínseca. A rede privativa, né? Toda rede privativa não deixa de ser uma segmentação. Então, nós vamos falar um pouquinho sobre a importância da segmentação. Tô prevendo aí slides 3 a 8. Vamos falar um pouquinho sobre A gente vai ter que falar um pouquinho sobre o modelo da ISO, porque a gente vai começar a falar muito de camada, de protocolo, então é importante nivelar o conhecimento de vocês, tá bom? E vamos falar um pouquinho também, aí vamos entrar bem nas técnicas de segmentação e falar um pouquinho sobre VLAN, VRF, ver um exercício também de Ok?

3:29 - Palestrante Não Identificado Bom, primeiros alguns esclarecimentos.

3:32 - Loreno A gente está usando o termo privativo e não privado, porque privativo se refere mais a uma corporação, enquanto que privado é mais particular, como um indivíduo. Mas são sinônimos de termos, na verdade. Mas a gente tem uma ligeira preferência pelo primativo. Então agora a pergunta é a seguinte. Essa pergunta eu vejo muita confusão em torno dela. Então eu resolvi tratar bem, com bastante tranquilidade dela aqui, porque eu acho que ela é fundamental para entender. Então por que existem, por que sempre existiram, sempre desde que existem telecomunicações, redes privativas? Então a primeira razão é dinheiro, economicidade, redução de custos. A gente vai ver com mais detalhes pra frente, mas é óbvio que um PABX, por exemplo, é mais barato do que você puxar, se o PABX tiver 10 linhas, você puxar 10 linhas separadas para atender as pessoas de uma corporação. Outro fator é segurança. Segurança no sentido de impedir que a comunicação, que seria confidencial, da empresa, de negócios, etc., seja monitorada por alguém, seja escutada por alguém, que uma conversa telefônica sempre pode Qualquer outro tipo de conversa, de dados também, sempre pode ser escutada. E o outro fator, não sei se é o principal ou não, é o conforto do usuário. O usuário fica mais fácil. Eu estou pegando a comparação básica com telefonia, porque eu acho que é onde são mais óbvias essas qualidades. Mas a comparação se aplica também às redes privativas de dados, tá? Então a questão de, por exemplo, de privacidade. Você quer aquele conforto de poder ligar para sua casa, para sua esposa, para sua família, sem ter que usar a linha do chefe, né? E o chefe esperando ao teu lado. Oi, senhora.

6:10 - Palestrante Não Identificado Oi.

6:11 - Luciano CPQD 1 Você está me ouvindo? Deixa eu só tirar uma dúvida do senhor rapidinho. Eu tô olhando a Ementa aqui e a Ementa hoje ela fala que seria parte do espectro de frequência e bandas licenciadas e não licenciadas.

6:30 - Loreno Não, pelo menos a Ementa que eu tinha anterior não era isso não. Essa parte de bandas licenciadas é as últimas aulas. Alguma mudança que eu não fui comunicado.

6:43 - Luciano CPQD 1 É, porque eu tô com a última versão aqui do que foi passado pra gente. E a gente fala que é espectro de frequência de bandas licenciadas.

6:53 - Luciano CPQD 1 Aí eu não sei se vai ser...

6:56 - Ícaro De Oliveira Castro Costa Não, vai ser da turma 2 ou da turma 1, colega?

7:00 - Ícaro De Oliveira Castro Costa Desculpa interromper.

7:01 - Palestrante Não Identificado Porque tem duas bandas.

7:03 - Ícaro De Oliveira Castro Costa Tem turma 1 e turma 2.

7:05 - Luciano CPQD 1 Isso aqui é da turma... Não, não. Os dois tubos são as mesmas sequências, né? É para ser a mesma sequência.

7:21 - Loreno Olha, eu vou compartilhar com vocês aqui o calendário que eu tenho, tá? Tá. Meu Deus, cadê a... Ah, tá aqui, desculpe. Não, então... Eu já tinha parado de compartilhar, mas agora não veio tão. Compartilhar. Professor, não precisa não.

8:16 - Luciano CPQD 1 Pode continuar. Desculpa a minha interrupção aqui. Eu acho que deveria ser as mesmas para a turma 1 e para a turma 2, parece que teve uma, alguma questão aqui, que a turma 1 ficou com essa parte de segmentação de redes, agora para a turma 4 mesmo.

8:44 - Palestrante Não Identificado Com licença, boa tarde, professor. Eu acho que as duas nunca vão caminhar igual, Luciano. Pode ter essa divergência, porque é uma organização que a universidade faz, tenham o mesmo, o mesmo trajeto aí, tá? Mas os conteúdos são os mesmos, tá bom?

9:04 - Loreno Aqui tá constando para mim, vocês estão vendo? A tela? Sim, sim. Tá constando para mim dia 24, aula 4, importância da segmentação em redes privativas. Essa parte de frequência vai aparecer só no dia 8 de abril e 9 de abril, ok? É isso mesmo.

9:24 - Ariane Ferrarezzi CPQD Obrigada, professor. Vou continuar aqui. Pelo menos pra mim foi essa tabela.

9:29 - Loreno Talvez o outro professor tenha mudado a ordem.

9:33 - Palestrante Não Identificado Não, eu acho que fizeram os cronogramas organizando de acordo com as agendas dos professores. Pode ficar tranquilo, pode seguir, professor, fique em paz. Aliás, né, agora, pegando o gancho, eu já vou me apresentar. Eu sou a Ariane, trabalho no CPQD, vou acompanhar algumas aulas, né, tanto de redes no mercado. Estou aqui só como telespectadora, né? Eu só fiz essa intervenção porque eu acho que como teve essa questão do mentor do Luciano, né? Então, mas pode seguir, professor, tá tudo certo.

10:13 - Palestrante Não Identificado Obrigada, viu, pessoal?

10:14 - Palestrante Não Identificado Obrigada.

10:15 - Palestrante Não Identificado Muito obrigada.

10:16 - Loreno Vocês estão tela cheia agora? Peraí. Estamos na tela cheia de novo?

10:23 - Gabriel Theodoro Sim, professor, está em tela cheia. Faz aquele teste para a gente pôr na página seguinte e voltar para não travar durante a sua fala.

10:32 - Loreno Vou pôr na página anterior. Foi.

10:35 - Gabriel Theodoro Estamos em tela cheia e acompanhando com o senhor.

10:38 - Loreno Pode prosseguir.

