Redes Privativas | Turma 1 
sexta, 25/04/2025

0:07 - Carlos Batista Parece ter sido uma falha momentânea, que logo em seguida eu consegui, entendeu?

0:13 - Palestrante Não Identificado Ô, Carlos, entendi.

0:15 - Gabriel Theodoro Então, você está conseguindo acesso lá, conseguiu ver as aulas e tudo mais, né? Depois, se puderem, coloquem de novo no chat, eu vou tentar durante a aula ver se eu consigo acessar dessa vez.

0:30 - Palestrante Não Identificado Tudo bem.

0:31 - Clodoaldo Callogero Só para fazer um teste, vocês conseguem me ouvir nesse O Clodoaldo, eu tô conseguindo te ouvir, mas tá muito baixo.

0:43 - Clodoaldo Callogero Não sei se é o meu que tá baixo aqui. Não adianta não. Agora melhora, Gabriel, por favor. Pelo jeito, não, né? Não tá muito bom, mas dá para ouvir.

1:11 - Gabriel Theodoro Eu tô ficando surdo já com a idade também.

1:17 - Gabriel Theodoro A idade é minha, meu amigo.

1:20 - Clodoaldo Callogero Foi por isso que eu sacaneei, José.

1:24 - Gabriel Theodoro Eu já aproveitei seu gancho as aulas, eu vou pegar no pé do Clodoaldo hoje.

1:30 - Clodoaldo Callogero Sacanagem, você bule com os velhinhos, hein?

1:33 - Gabriel Theodoro Não, mas eu tava falando sério, eu tava entendendo o volume aqui, tá um pouco baixo, Clodoaldo, não sei se com os outros, tá?

1:40 - Clodoaldo Callogero Eu tô brincando.

1:41 - Gabriel Theodoro Dá pra ouvir tudo, mas sim, tem que prestar atenção no que tá falando.

1:45 - Clodoaldo Callogero Não, eu tô brincando, eu vou ter que dar um jeito nesse microfone aqui.

1:49 - Carlos Batista Pessoal, dá licença, coloquei o link lá da aula de hoje, quiser tentar.

1:54 - Gabriel Theodoro Ô, Carlos, eu tô no chat aqui, não sei se você colocou aqui ou colocou lá, você poderia colocar o link do Discord no chat, por favor, se você tiver com ele na mão?

2:04 - Carlos Batista Ah, sim, sim, tudo bem, eu coloquei no Discord o link da aula, mas coloco também aqui o link...

2:10 - Gabriel Theodoro É, eu tô apanhando pra entrar no Discord, tem um monte de grupo lá e dá aula que eu não consigo.

2:17 - Carlos Batista Eu coloco eu deixei o link do Discord aqui.

2:21 - Gabriel Theodoro Por favor, meu querido.

2:23 - Clodoaldo Callogero Partilhar esse conteúdo já não chega para você, Gabriel? Vamos ver.

2:30 - Gabriel Theodoro Deixa eu abrir a caixa de e-mail aqui.

2:34 - Palestrante Não Identificado Vamos resolver isso já.

2:36 - Clodoaldo Callogero Não, acho que é mais fácil... Não sei fazer isso, não. Compartilhar com você.

2:45 - Gabriel Theodoro Eu recebo a gravação da aula por e-mail.

2:48 - Gabriel Theodoro Ah, o Fernando Hans, eu acho que colocou.

2:52 - Gabriel Theodoro Acabei de clicar aqui, estou tentando acessar. Obrigado, viu, Fernando? Não sei se vocês também recebem do anotador da aula.

3:02 - Palestrante Não Identificado Recebe o quê?

3:04 - Gabriel Theodoro No final da aula, chega algum anotador online, ele anota e chega a descrição em vídeo e todo o texto que rodou a aula, a transcrição dela.

3:15 - Clodoaldo Callogero Ah, isso eu recebo no e-mail lá, é, graças a Deus, graças a Deus da praia.

3:21 - Gabriel Theodoro Tu me ajuda pra caramba a tomar as notas, eu pego aquilo lá e vou vendo e lembrando a aula e lendo as partes lá.

3:30 - Clodoaldo Callogero Ah, eu também. O pdf, mesmo se você deixou o Fernando, sem te sacanear, tá, Fernando? Seria legal a gravação, logo que termina colocar a gravação dela lá. Mas eu sei que você deve ter muita tarefa. E essa transcrição online pra gente ajuda a barbaridade.

3:51 - Fernando Hansel Mas eu tô colocando a gravação lá no Discord também. Vocês não estão tendo acesso?

3:58 - Clodoaldo Callogero Ah, eu vi agora. É que eu tinha visto de manhã. É que velhinho é ansioso mesmo. Eu vou parar Fernando, obrigado!

4:09 - Palestrante Não Identificado Consegui acessar, viu?

4:13 - Palestrante Não Identificado Boa!

4:14 - Palestrante Não Identificado Opa!

4:15 - Palestrante Não Identificado Boa!

4:16 - Palestrante Não Identificado Melhorou meu microfone, Gabriel?

4:20 - Palestrante Não Identificado Ô, Clodoaldo!

4:22 - Palestrante Não Identificado Tá 10, rapaz!

4:26 - Palestrante Não Identificado Tá nota 10 agora!

4:30 - Gabriel Theodoro Tô ouvindo bem!

4:35 - Clodoaldo Callogero e não vai gostar minha mulher agora que ela vai ouvir a aula Pessoal, eu achei as aulas que o Fernando gravado, vou colocar aqui no chat.

